"HID","median_probs","mean_probs","cilow","cihigh","cisize","standarddev"
16271,0,0.069,0,1,1,0.253580960056751
16272,0,0.074,0,1,1,0.261901875885975
16273,0,0.045,0,1,1,0.207407854282373
16274,0,0.034,0,1,1,0.181319819316248
16275,0,0.03,0,1,1,0.170672578726429
16276,0,0.029,0,1,1,0.167890402308134
16277,0,0.034,0,1,1,0.181319819316248
16278,0,0.069,0,1,1,0.253580960056751
16279,0,0.133,0,1,1,0.339744648856206
16280,0,0.301,0,1,1,0.458922226101122
16320,0,0.318,0,1,1,0.465932498429862
16323,1,0.599,0,1,1,0.490346244443087
16324,1,0.665,0,1,1,0.472226638382459
16325,1,0.637,0,1,1,0.481105458774334
16326,0,0.483,0,1,1,0.499960959436795
16327,0,0.342,0,1,1,0.474616962677548
16328,0,0.27,0,1,1,0.444181603960922
16329,0,0.235,0,1,1,0.424210979295627
16330,0,0.183,0,1,1,0.386860001370859
16331,0,0.184,0,1,1,0.387678080750375
16332,0,0.159,0,1,1,0.36585906146063
16333,0,0.181,0,1,1,0.385210834981815
16334,0,0.205,0,1,1,0.403903624814309
16335,0,0.241,0,1,1,0.427904314189635
16336,0,0.268,0,1,1,0.443139224592421
16337,0,0.327,0,1,1,0.469351990824894
16338,0,0.37,0,1,1,0.483045891539648
16339,0,0.423,0,1,1,0.494282626960846
16340,0,0.464,0,1,1,0.498951854343636
16341,0,0.444,0,1,1,0.497102716861527
16342,0,0.431,0,1,1,0.495463908357092
16343,0,0.402,0,1,1,0.490547282773676
16344,0,0.368,0,1,1,0.48250265160806
16345,0,0.296,0,1,1,0.45671938057476
16346,0,0.237,0,1,1,0.425455064621415
16347,0,0.252,0,1,1,0.434378503939461
16348,0,0.224,0,1,1,0.417130672569158
16349,0,0.216,0,1,1,0.411720188372532
16350,0,0.185,0,1,1,0.388491860823269
16351,0,0.142,0,1,1,0.349224795737585
16352,0,0.105,0,1,1,0.306706812883361
16353,0,0.081,0,1,1,0.272971634998059
16354,0,0.068,0,1,1,0.251871871076227
16355,0,0.063,0,1,1,0.243084532807191
16356,0,0.047,0,1,1,0.211744742168102
16357,0,0.02,0,0,0,0.140070052543788
16358,0,0.046,0,1,1,0.209589904165081
16359,0,0.067,0,1,1,0.250147103868051
16360,0,0.106,0,1,1,0.307991653878573
16361,0,0.295,0,1,1,0.456270953692193
16401,0,0.413,0,1,1,0.492619197427053
16403,1,0.586,0,1,1,0.492794933868893
16404,1,0.653,0,1,1,0.476253942574566
16405,1,0.659,0,1,1,0.474282557073254
16406,1,0.554,0,1,1,0.49732417127195
16407,0,0.379,0,1,1,0.485380875802286
16408,0,0.3,0,1,1,0.458486870270251
16409,0,0.241,0,1,1,0.427904314189635
16410,0,0.205,0,1,1,0.403903624814309
16411,0,0.194,0,1,1,0.395626743939942
16412,0,0.197,0,1,1,0.397931337480914
16413,0,0.178,0,1,1,0.382704144820072
16414,0,0.191,0,1,1,0.393285740491152
16415,0,0.217,0,1,1,0.412408876093957
16416,0,0.253,0,1,1,0.434948479914783
