HID,Folds,BIO08_Mean,TXX_IDW1N10,BIO02_Mean,TN90P_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10,PA
60067,5,12.854377600000001,39.035991,10.8170592,11.935862,0.0,0.0,0.344892,5.729324,15.665962,9.12174,0
60073,5,2.6257956,38.147015,11.2487758,11.701946,1.874422,5.959463,31.512362,8.2973,28.884646,10.989215,0
60074,5,2.6207936,38.099324,12.5628364,11.651623,3.555089,4.286717,30.725416,8.783368,28.348723,11.206879,0
60075,5,8.802831000000001,38.927881,12.8392079,11.683414,5.981926,6.384382,41.597244,9.240012,25.038211,10.830888,0
60076,5,10.4859405,38.448313,11.737655100000001,11.506571,8.379001,7.501618,53.24751,10.633272,26.144819,9.863057,0
60077,5,8.4380554,38.268005,10.464791,11.661889,7.873437,11.514778,68.781643,11.914045,28.175233,8.758947,0
60078,5,0.5801201,37.359117,10.0955554,11.857966,5.263974,24.679657,107.213897,12.006183,29.606167,7.376115,0
60137,5,22.9892165,43.307579,13.526571200000001,10.596443,0.0,0.004825,0.116757,4.757705,17.258869,5.098083,0
60138,5,19.5337089,43.707482,13.4190076,10.668411,0.0,0.002104,0.938114,4.460562,16.233094,5.9739,0
60139,5,17.4339955,43.439488,12.6942978,10.79282,0.0,0.0,0.282013,4.073413,15.577414,6.670478,0
60140,5,13.7910997,43.944837,12.903887700000002,10.857418,0.0,0.008299,0.907362,4.03361,15.994565,7.932168,0
60141,5,10.9348007,43.946669,13.5564073,11.032015,0.0,0.025927,1.178546,3.850157,15.124111,8.126998,0
60142,5,12.0484246,44.534128,14.4811848,11.221952,0.00118,0.0,0.0,3.705404,13.728148,8.071368,0
60143,5,14.005537200000001,44.861336,15.1970042,11.486879,0.00217,0.0,0.0,3.545536,12.393942,7.903095,0
60144,5,12.6478447,44.632119,15.5290786,11.652015,0.008219,0.0,0.0,3.439371,10.872904,7.659733,0
60145,5,9.544023300000001,44.454141,15.136084299999998,11.799985,0.003433,0.0,0.0,3.601521,10.844773,7.602666,0
60146,5,8.844194,43.846137,12.447019899999999,11.875635,0.002705,0.0,0.0,4.153978,11.795251,8.378497,0
60147,5,12.9310084,40.867571,12.624258600000001,11.924334,0.0,0.0,0.0,5.215112,14.321397,8.898757,0
60148,5,13.282363899999998,38.317339,10.3174741,11.938838,0.0,0.0,1.442411,6.111552,17.034141,9.09837,0
60153,5,5.7135077,37.249763,11.1409915,11.776788,0.867487,3.601279,21.218233,8.042781,29.537648,10.172123,0
60154,5,1.7359933,38.614514,12.878673800000001,11.664034,2.999282,4.839717,30.941908,8.551347,29.033842,10.910708,0
60155,5,5.3803824,38.82786,13.1480332,11.633592,6.127747,3.559756,27.622978,9.188649,25.940594,10.895166,0
60156,5,6.6237701,38.598086,12.4493908,11.50919,7.959618,4.909788,32.498428,10.22992,25.783099,10.128703,0
60157,5,12.4170476,38.367306,11.2733103,11.572032,8.508515,8.282954,56.471246,11.405103,27.337888,9.274688,0
60158,5,1.1022584,38.271584,10.5792199,11.727371,7.516526,16.720285,82.366657,12.311709,28.899713,8.132819,0
60159,5,4.106441800000001,36.547972,9.7943651,11.988136,3.877002,40.779152,138.873508,12.461755,31.994567,6.700456,0
60218,5,21.7638964,43.746374,14.5101414,10.533561,0.0,0.0,0.172754,4.810328,17.590088,4.800392,0
60219,5,21.7737563,44.641458,14.2542073,10.609693,0.0,0.005112,0.983988,4.925655,17.602336,5.936153,0
60220,5,18.9235297,44.402037,13.3375945,10.662538,0.0,0.0,0.069456,4.548705,16.490525,6.788473,0
60221,5,16.4199448,44.004842,13.0537057,10.817751,0.0,0.0,0.159975,4.134399,15.760229,7.502576,0
60222,5,12.2865801,43.965261,13.4910284,10.920433,0.0,0.06406,1.033627,4.017998,15.848168,8.298342,0
60223,5,12.0312256,43.900554,14.064764199999999,11.112269,0.0,0.0,0.008226,3.930913,14.907195,8.140924,0
60224,5,11.1967681,44.67531,14.9479635,11.331076,0.001356,0.0,0.0,3.691555,13.157494,7.978998,0
60225,5,10.1602847,44.768588,15.2530758,11.554422,0.003146,0.0,0.0,3.535163,11.799536,7.799419,0
60226,5,10.8218904,44.596969,15.720952500000001,11.739453,0.005169,0.0,0.0,3.539119,10.930941,7.716556,0
60227,5,7.9727873,44.528844,13.812431799999999,11.824312,0.00274,0.0,0.0,3.76313,11.057875,7.675695,0
60228,5,8.3380022,43.997577,12.8459202,11.907417,0.008787,0.0,0.0,4.564408,12.679305,8.703461,0
60229,5,11.4608524,41.565514,11.6336562,11.870469,0.010165,0.0,0.101393,5.479527,15.260513,8.987877,0
60230,5,12.2549573,38.140943,9.4305183,11.927978,0.0,0.01196,2.844197,6.376307,18.497414,8.892911,0
60235,5,-1.1350704,38.54014,11.3415882,11.660204,2.429155,6.90864,42.201414,8.361661,28.888189,10.557551,0
60236,5,8.1768175,38.879625,13.849049500000001,11.616756,4.939754,3.142313,27.46188,8.949,27.91108,10.859134,0
60237,5,1.3218483,38.752135,12.997155799999998,11.586049,7.275488,2.630883,17.050878,9.630964,25.901771,10.610948,0
60238,5,8.166695,38.518449,11.7479426,11.410775,8.742923,5.770649,41.206592,10.816539,26.283874,9.636856,0
60239,5,2.7919955,38.2568,11.7880222,11.626388,9.26529,11.81154,63.951511,12.298366,28.240386,8.979262,0
60240,5,-0.3770035,37.132261,9.8018757,11.887026,6.109964,27.008454,113.329673,12.598363,29.872393,7.264066,0
60299,5,20.5644714,43.443054,15.159327300000001,10.621619,0.0,0.074955,1.260272,5.36188,18.434239,5.042295,0
60300,5,20.7349412,44.302019,15.2765184,10.599135,0.0,0.057973,1.403707,5.02547,17.86785,5.64159,0
60301,5,20.3039415,44.890111,14.3811567,10.630643,0.0,0.0,0.476771,4.912588,17.479959,6.518856,0
60302,5,16.8683212,44.756489,13.683353700000001,10.711154,0.0,0.0,0.342338,4.5219,15.956316,7.742994,0
60303,5,14.0326042,44.084402,13.578218000000001,10.833971,0.0,0.0,0.654199,4.231823,15.890682,8.213905,0
60304,5,12.4189932,44.176038,13.874100899999998,10.995058,0.0,0.0,0.179585,3.925508,14.965277,8.158591,0
60305,5,11.6736112,44.462305,14.509375700000001,11.223047,0.0,0.0,0.0,3.780748,13.87224,8.061953,0
60306,5,11.445368,44.67862,15.0401858,11.422514,0.001622,0.0,0.0,3.6154,12.457485,7.823483,0
60307,5,10.4290152,44.652301,15.3315996,11.651027,0.004002,0.0,0.0,3.544617,11.365028,7.714084,0
60308,5,8.5299048,44.506018,15.0493621,11.8002,0.003672,0.0,0.0,3.677397,10.88675,7.762377,0
60309,5,7.897339100000001,44.232261,13.7750765,11.903424,0.011269,0.0,0.0,4.286926,11.956442,8.455028,0
60310,5,8.844748599999999,43.225528,13.3816981,11.861947,0.012267,0.0,0.0,5.019123,14.110327,8.874359,0
60311,5,10.9662681,41.299886,11.964596,11.834421,0.030292,0.0,0.330255,5.920474,17.003248,9.033496,0
60312,5,9.7088667,37.566677,8.9404483,11.900701,0.018655,0.833649,5.006113,6.660059,19.988228,8.670426,0
60316,5,4.8045434,37.572834,10.6140249,11.7492,1.770957,4.664005,27.751109,8.159888,29.792653,10.156085,0
60317,5,6.8718086,39.056773,13.101949999999999,11.621861,3.501608,5.098795,35.395638,8.619123,28.427418,10.713884,0
60318,5,7.3597931,38.86969,13.837850499999998,11.601947,7.460732,3.553971,26.191164,9.205288,26.170896,10.90977,0
