HID,Folds,BIO03_Mean,TN10P_IDW1N10,GSL_IDW1N10,TNX_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10,PA
78401,4,48.258063,10.1023,304.630536,16.18741,1.4169,10.670996,617.754382,49.258688,62.376812,4.146599,1
78402,4,47.454602,10.223485,269.344219,14.759241,3.151146,6.327912,615.245054,49.570163,61.492165,3.667653,0
78449,2,88.484373,10.273674,365.0,25.814051,0.0,141.391037,784.57842,34.053664,79.335915,3.551935,1
78450,2,89.509156,10.166222,365.0,24.989208,0.0,159.493384,872.281554,37.276298,83.567592,2.292738,1
78451,2,90.420343,10.124259,365.0,24.31022,0.0,132.574266,759.746898,41.859796,88.750332,1.510292,1
78452,2,89.133222,10.088541,365.0,23.902826,0.0,130.033177,563.040929,47.65541,91.618573,1.245388,1
78458,3,74.609964,9.758512,365.0,27.405079,0.0,30.560166,443.773999,46.794295,87.541341,7.118107,1
78459,3,75.215594,9.772713,365.0,27.349698,0.0,42.242092,268.960961,44.318551,84.531734,7.016052,1
78467,3,57.288885,10.514382,365.0,25.789631,0.0,6.584963,249.592737,46.345906,69.641799,7.050406,1
78468,3,55.3959,10.760139,365.0,25.659181,0.0,6.263646,252.793426,45.701563,69.034409,7.402671,1
78469,7,55.224087,10.738512,365.0,25.754651,0.0,4.01656,240.576071,43.983876,68.950775,8.028102,1
78470,7,53.6669,10.437665,365.0,25.942507,0.0,2.465239,233.394598,40.965716,69.336099,8.752848,1
78471,7,52.951216,10.407499,365.0,25.80535,0.0,3.235191,387.073374,39.797706,69.879415,8.57922,1
78472,7,52.740247,10.531986,365.0,25.325882,0.0,5.132303,376.418949,39.165678,70.084153,8.303173,1
78473,7,52.113602,10.630309,365.0,24.676292,0.0,8.335609,380.655417,38.512694,69.956242,7.990371,1
78474,7,52.678027,10.491167,364.990463,23.770495,0.0,9.829692,457.423008,36.509632,70.139325,7.705469,1
78475,7,52.980176,10.598263,364.905877,22.669808,0.0,10.069244,490.079469,35.97431,70.047792,7.29942,1
78476,7,52.980902,10.206608,364.539993,21.808218,0.001,7.953381,634.799253,34.469203,70.448255,7.151344,1
78477,4,52.600709,10.076914,363.518382,21.051056,0.002799,11.643407,660.188974,33.59661,67.833177,6.989519,1
78478,4,52.032785,9.975424,362.347038,20.406854,0.010424,14.112164,805.914761,33.5964,65.673722,6.537302,1
78479,4,50.778548,9.946807,361.167567,19.850598,0.023681,13.664186,779.354881,36.327254,64.372144,6.082013,1
78480,4,49.359862,9.955277,357.562978,18.954972,0.076514,13.175285,663.438078,40.847407,62.814512,5.690848,1
78481,4,48.525442,10.101542,348.37452,17.860545,0.210664,14.467346,561.175237,45.750263,63.612386,5.296829,1
78482,4,48.419827,10.076712,316.215129,16.639034,0.666072,12.795867,582.407968,47.035887,61.387382,4.354958,1
78483,4,48.195533,10.190745,278.567096,15.067559,2.708291,7.001462,615.841135,47.893092,60.582698,3.771622,0
78530,2,88.38821,10.302709,365.0,25.774615,0.0,133.930569,737.140784,33.88967,76.688882,4.249844,1
78531,2,88.551965,10.218555,365.0,25.072403,0.0,115.768145,715.701178,36.815989,81.822202,2.755965,1
78532,2,90.782074,10.099831,365.0,24.436875,0.0,150.11834,820.024297,41.198278,86.553522,1.581752,1
78533,2,89.71377,10.075354,365.0,23.937491,0.0,139.848929,678.101886,46.550764,90.78739,1.31607,1
78538,3,84.352341,9.837376,365.0,27.016075,0.0,89.582516,603.653216,51.608566,92.117322,6.621807,1
78539,3,74.166178,9.781816,365.0,27.313138,0.0,43.679346,486.92863,48.405715,89.746108,7.013442,1
78540,3,77.805619,9.767688,365.0,27.377149,0.0,28.343856,327.343402,45.264615,85.978162,6.979621,1
78548,3,59.335618,10.344112,365.0,25.97141,0.0,7.487305,346.873375,45.261134,69.800322,6.990878,1
78549,3,56.390189,10.622195,365.0,25.733898,0.0,5.689153,268.963872,45.676952,68.572335,7.334502,1
78550,7,56.732774,10.65865,365.0,25.68475,0.0,5.45112,253.479854,44.574932,68.506345,7.903843,1
78551,7,55.098355,10.534965,365.0,25.819946,0.0,3.97942,247.70792,42.412496,68.840957,8.430359,1
78552,7,54.140927,10.445714,365.0,25.806226,0.0,4.118678,278.933234,40.105473,69.473713,8.75142,1
78553,7,53.858299,10.412375,365.0,25.637656,0.0,3.775332,425.102489,39.076043,70.018952,8.519599,1
78554,7,52.546242,10.573167,365.0,24.977074,0.0,5.845755,381.295721,39.041548,70.149746,8.12974,1
78555,7,52.866663,10.52004,365.0,24.197124,0.0,10.085807,415.041038,38.011461,70.60654,7.718509,1
78556,7,53.171751,10.482487,364.929034,23.122153,0.0,10.408278,472.234611,37.077175,71.051922,7.320794,1
78557,7,53.349586,10.337166,364.520765,22.179059,0.001239,8.013593,642.820039,35.291752,70.559842,7.035835,1
78558,4,53.039042,10.170277,363.730202,21.332986,0.002996,9.629756,660.865956,33.449837,68.874143,6.818111,1
78559,4,52.232704,10.007406,362.934564,20.717678,0.006146,15.155307,707.369212,33.259044,66.618002,6.810975,1
78560,4,51.559434,9.946281,361.849564,20.159595,0.013481,13.571646,787.102319,34.439616,64.708343,6.238886,1
78561,4,49.887769,9.950307,358.899821,19.343135,0.058112,13.762964,699.441971,36.309923,62.65358,5.792868,1
78562,4,48.897746,9.998398,348.985938,18.34211,0.214958,13.622563,591.45476,39.636197,61.323637,5.111637,1
78563,4,48.506955,10.087567,329.770276,17.131799,0.572527,13.271323,565.342671,41.901055,60.159958,4.55892,1
78564,4,48.332167,10.125822,301.63859,15.984757,1.565483,10.48577,564.163984,45.578269,59.592225,4.033751,0
78565,4,48.290575,10.25243,267.890085,14.637498,3.206501,4.272369,608.232424,45.45476,58.780395,3.578601,0
78566,4,47.581853,10.295778,219.974251,12.482148,20.462975,4.072598,556.19684,44.171111,58.805132,3.329802,0
78610,2,88.919156,10.203321,365.0,25.007346,0.0,104.688213,667.379942,36.802298,77.013864,3.160538,1
78611,2,88.264755,10.127178,365.0,24.549767,0.0,96.059958,652.585584,39.448764,81.860023,2.059297,1
78612,2,90.229801,10.108542,365.0,24.369076,0.0,151.436837,806.777791,40.480449,84.203253,1.797675,1
78613,2,90.217941,10.051555,365.0,24.144389,0.0,153.182887,769.846201,44.549089,87.803715,1.318351,1
78614,2,88.373371,10.031806,365.0,23.983143,0.0,141.600018,567.560383,49.621372,90.092503,1.454185,1
78617,3,87.65355,9.959696,365.0,25.451119,0.0,111.09731,558.025851,56.427023,94.102957,4.621513,1
78618,3,83.392871,9.893343,365.0,26.226653,0.0,132.363003,782.862636,54.599834,93.27949,5.62194,1
78619,3,79.384731,9.86119,365.0,26.37413,0.0,59.539541,556.786583,53.442907,93.261866,5.710834,1
78620,3,77.283516,9.812492,365.0,26.981306,0.0,28.319234,347.972833,49.090548,90.449698,6.274761,1
78629,3,57.859587,10.548869,365.0,25.606949,0.0,5.906712,373.803229,45.382727,66.546194,7.518501,1
78630,7,57.326422,10.668777,365.0,25.594884,0.0,5.463306,277.903055,44.427448,67.099407,8.098791,1
78631,7,56.509829,10.545374,365.0,25.752732,0.0,4.244261,259.673237,42.606591,67.338804,8.443244,1
78632,7,54.950002,10.412306,365.0,25.854051,0.0,3.591591,260.825041,40.907546,68.24399,8.850703,1
78633,7,54.13918,10.361526,365.0,25.773747,0.0,3.900972,394.051623,39.380954,69.240568,8.73259,1
78634,7,53.236351,10.408019,365.0,25.229827,0.0,4.396914,415.16716,38.375564,71.159917,8.21091,1
78635,7,52.696009,10.533766,364.992881,24.23752,0.0,6.854931,413.173101,38.360536,72.392742,7.456463,1
78636,7,53.371356,10.518437,364.931678,23.233119,0.0,10.406945,431.666177,37.981032,72.291588,7.063509,1
78637,7,53.853702,10.436322,364.458899,22.413997,0.002192,8.7361,535.260675,35.718138,71.526976,6.804414,1
78638,4,53.634231,10.303285,364.136553,21.927939,0.002985,7.206096,702.538469,34.135173,70.565084,6.799815,1
78639,4,52.964095,10.147643,363.039827,21.184845,0.004966,14.273759,649.14553,31.733627,67.241172,6.744863,1
78640,4,51.850909,10.004646,361.05444,20.378778,0.02043,14.066162,728.406526,30.479356,64.321015,6.194785,1
78641,4,50.387276,9.950964,358.427414,19.501264,0.05724,13.495389,754.394766,32.798229,62.243067,5.731086,1
78642,4,49.070998,9.970034,349.872586,18.400802,0.202566,13.840982,633.83966,35.473359,59.39378,5.000227,1
78643,4,48.676455,10.027765,342.756484,17.741458,0.344293,12.982952,566.225647,35.955975,58.047905,4.702948,1
78644,4,48.447002,10.088898,317.963335,16.524523,0.895107,11.020419,566.278002,36.846989,55.716314,4.130859,1
78645,4,48.494768,10.221984,282.744298,15.115514,2.508941,6.99527,577.994986,36.988075,54.640205,3.546559,0
78646,4,48.482631,10.261038,248.399324,13.664148,10.392862,3.450467,599.969508,36.012018,55.422807,3.205802,0
78690,2,88.484873,10.240725,365.0,25.713819,0.0,173.66014,788.869106,35.620187,71.254355,4.457851,1
78691,2,89.088057,10.16593,365.0,24.858987,0.0,103.540076,664.274843,37.347752,74.359274,3.025842,1
78692,2,88.411082,10.131806,365.0,24.608786,0.0,96.365748,677.440413,38.353351,77.718464,2.474463,1
78693,2,89.223433,10.102998,365.0,24.339509,0.0,133.525417,747.39935,40.547243,83.226255,1.818423,1
78694,2,90.244803,10.056391,365.0,24.177636,0.0,147.386361,769.948323,44.03399,87.652139,1.373652,1
78695,2,89.425484,10.011586,365.0,24.066635,0.0,153.760571,654.846675,48.216436,89.669662,1.394733,1
78698,3,87.937121,9.96844,365.0,24.765332,0.0,112.57173,556.286604,57.695308,93.429101,3.70743,1
78699,3,84.050979,9.955991,365.0,25.253675,0.0,131.1863,733.125892,56.988682,93.644217,4.453253,1
78700,3,81.580794,9.897314,365.0,25.951386,0.0,87.600586,634.19844,54.62483,93.432963,5.253358,1
78701,3,78.596951,9.83928,365.0,26.659335,0.0,50.707714,399.927744,50.029705,90.870463,6.053145,1
78709,3,61.994415,10.107529,365.0,26.573041,0.0,10.704082,331.157695,42.50935,69.128912,7.038342,1
78710,3,58.792154,10.419078,365.0,25.722919,0.0,8.394342,372.314798,44.789134,66.613549,7.174269,1
78711,7,57.040553,10.661392,365.0,25.514157,0.0,5.237798,322.135047,45.141681,65.50545,7.882421,1
78712,7,57.212538,10.622313,365.0,25.611154,0.0,5.282107,279.837731,43.488911,65.853934,8.393526,1
