HID,CDD_present,CDD_future,outlier_marker
51622,402.448986,401.238752,pf
51701,361.136976,381.079439,f
51702,385.954631,427.752848,pf
51703,406.264246,412.823641,pf
51704,368.876978,336.255977,p
51783,371.262822,402.900742,pf
51784,390.244189,403.631933,pf
51785,379.875452,356.118588,p
51864,372.510754,397.47371,pf
51865,380.036584,361.336538,p
51946,366.173665,356.810683,p
51947,383.974652,352.26104,p
108108,281.839099,367.98799,f
108189,287.953665,371.435069,f
108269,287.404838,371.547078,f
108270,295.495149,389.73449,f
108271,295.034347,375.978049,f
108349,281.817236,365.737881,f
108350,288.454253,377.827862,f
108351,302.38565,390.420725,f
108352,303.954933,410.778586,f
108353,297.111843,379.071207,f
108354,297.971602,370.655906,f
108431,285.649943,367.947948,f
108432,302.551232,410.061171,f
108433,301.67817,402.772445,f
108434,304.706101,404.772493,f
108435,302.248286,386.252911,f
108511,281.953061,370.204613,f
108512,298.138482,404.418754,f
108513,306.620461,416.118956,f
108514,314.755457,440.742966,f
108515,312.520885,423.506754,f
108516,312.343152,406.628681,f
108517,309.233058,383.463712,f
108592,272.763263,369.824798,f
108593,287.109671,381.058339,f
108594,312.026141,450.057016,f
108595,317.428836,461.692237,f
108596,316.171202,446.52657,f
108597,321.897379,442.669747,f
108598,308.758558,397.439564,f
108599,305.388581,365.598257,f
108674,279.740832,377.155912,f
108675,305.858095,433.763224,f
108676,316.633422,457.682925,f
108677,322.913312,473.244324,f
108678,323.623965,460.867487,f
108679,321.015066,431.433263,f
108680,317.605592,400.184341,f
108754,269.995459,370.177411,f
108755,294.49088,407.457204,f
108756,314.355839,457.234556,f
108757,330.209945,497.050597,f
108758,333.42067,498.083094,f
108759,333.791953,488.96789,f
108760,334.968587,450.609476,f
108761,327.841571,414.356655,f
108836,273.151414,378.078811,f
108837,308.866782,447.754022,f
108838,326.694685,490.221618,f
108839,341.197595,523.73909,f
108840,343.221039,516.797984,f
108841,334.734818,472.90214,f
108842,343.567031,445.811783,f
108843,339.427884,417.281175,f
108918,291.803594,419.856289,f
108919,317.680789,471.819229,f
108920,347.701016,550.968677,f
108921,349.662612,529.481739,f
108922,341.033861,527.824267,f
108923,350.544095,501.207477,f
108924,338.500602,451.357478,f
108925,339.677741,390.901493,f
108998,272.652641,384.022657,f
108999,307.171004,449.392975,f
109000,338.745466,528.475897,f
109001,346.988418,544.675165,f
109002,353.88671,533.595117,f
109003,366.355363,550.871898,pf
109004,363.946178,521.815778,f
109005,359.143014,467.723707,f
109006,353.801196,421.701611,f
109080,288.661919,412.905003,f
109081,323.327698,500.002457,f
109082,351.94611,569.524792,f
109083,370.599967,562.844152,pf
109084,365.390748,539.755635,pf
109085,363.350648,561.040018,f
109086,382.951062,552.190744,pf
109087,360.591156,461.627294,f
109088,367.216186,428.435639,pf
109161,274.026579,390.699057,f
109162,302.988022,447.941199,f
109163,349.756361,577.257956,f
109164,363.72857,573.968331,f
109165,370.12129,540.28565,pf
109166,389.111691,587.121847,pf
109167,376.490339,569.679945,pf
109168,379.779134,532.762205,pf
109169,372.460517,467.869424,pf
109170,361.677071,384.755139,f
109242,281.30798,378.186622,f
109243,327.407451,513.906368,f
109244,351.409942,564.279998,f
109245,377.723641,580.752549,pf
109246,388.911065,572.982458,pf
109247,398.094716,600.649909,pf
109248,416.806514,637.019227,pf
109249,400.2982,556.558797,pf
109250,394.742863,503.209663,pf
109251,360.440187,400.238553,f
109323,260.411402,373.356066,f
109324,295.017691,439.491005,f
109325,341.757618,543.290079,f
109326,384.749892,608.517535,pf
109327,389.539063,591.052743,pf
109328,420.334351,610.949613,pf
109329,415.11414,647.553352,pf
109330,423.606119,658.927627,pf
109331,418.898494,565.282809,pf
109332,390.020682,477.129534,pf
109333,360.721678,395.528327,f
109334,339.40296,366.677005,f
109405,274.927859,402.499924,f
109406,321.32312,513.906475,f
109407,351.222055,552.8518,f
109408,398.791523,632.30097,pf
109409,413.364883,612.218867,pf
109410,415.981215,620.146943,pf
109411,438.635651,701.210216,pf
109412,435.405716,646.847972,pf
109413,410.648883,538.631596,pf
109414,403.793191,497.490286,pf
109415,352.253138,382.526912,f
109485,255.14908,381.222072,f
109486,298.561302,447.786544,f
109487,331.499516,525.192034,f
109488,378.215814,592.546001,pf
109489,404.633392,609.012709,pf
109490,425.492671,633.069813,pf
